city,surfaceArea,roomsQuantity,bedroomsQuantity,floorQuantity,floor,isInCondominium,price,district_libelle,surfaceArea_bins
Paris 8e,53.0,2.0,1.0,5.0,2.0,True,872000.0,Hoche Friedland,small
Paris 14e,83.0,3.0,2.0,5.0,2.0,True,970000.0,Montsouris - Dareau,medium
Paris 5e,95.0,3.0,2.0,6.0,4.0,True,1840000.0,Châtelet - Les Halles,medium
Paris 13e,45.0,2.0,1.0,8.0,6.0,True,599000.0,Bibliothèque - Dunois - Jeanne d'Arc,small
Paris 14e,116.0,5.0,4.0,6.0,6.0,True,1322000.0,Jean Moulin - Porte d'Orléans,large
Paris 19e,35.0,1.0,0.0,6.0,8.0,True,364500.0,La Villette - Porte de Pantin,small
Paris 17e,137.0,5.0,3.0,6.0,3.0,True,1890000.0,Courcelles - Wagram,large
Paris 14e,35.0,2.0,1.0,6.0,3.0,True,429000.0,Jean Moulin - Porte d'Orléans,small
Paris 19e,88.0,4.0,2.0,10.0,9.0,True,600000.0,Flandre - Aubervilliers,medium
Paris 18e,22.0,2.0,1.0,6.0,3.0,True,245000.0,Simplon - Poissonniers,small
Paris 2e,20.0,1.0,0.0,6.0,1.0,True,264000.0,Sentier,small
Paris 13e,77.0,4.0,1.0,1.0,0.0,True,735000.0,Butte-aux-Cailles,medium
Paris 13e,94.31,3.0,2.0,5.0,3.0,True,943000.0,Croulebarbe,medium
Paris 4e,37.0,1.0,0.0,4.0,4.0,True,350000.0,Saint-Gervais,small
Paris 15e,49.0,3.0,2.0,6.0,1.0,False,550000.0,Violet - Commerce,small
Paris 20e,45.0,2.0,1.0,6.0,6.0,True,380000.0,Plaine - Lagny,small
Paris 14e,67.0,3.0,2.0,5.0,3.0,True,730000.0,Didot - Porte de Vanves,medium
Paris 7e,30.0,2.0,1.0,7.0,1.0,True,435000.0,Champ de Mars,small
Paris 19e,83.0,4.0,2.0,10.0,2.0,True,499000.0,Flandre - Aubervilliers,medium
