city,surfaceArea,roomsQuantity,bedroomsQuantity,floorQuantity,floor,isInCondominium,price,district_libelle,surfaceArea_bins
Paris 15e,106.0,4.0,2.0,6.0,4.0,False,713900.0,Saint-Lambert - Convention,large
Paris 15e,90.0,4.0,2.0,7.0,1.0,False,751440.0,Vaugirard - Parc des Expositions,medium
Paris 16e,416.0,9.0,5.0,8.0,8.0,True,9400000.0,Dauphine,large
Paris 17e,141.0,6.0,4.0,6.0,2.0,True,1672000.0,Ternes - Maillot,large
Paris 16e,63.31,2.0,1.0,8.0,2.0,True,635000.0,Porte de Saint-Cloud - Auteuil-Sud,medium
Paris 18e,66.0,3.0,1.0,9.0,2.0,False,526528.0,Grandes Carrières - Clichy,medium
Paris 14e,42.0,3.0,2.0,6.0,0.0,True,450000.0,Jean Moulin - Porte d'Orléans,small
Paris 9e,51.47,3.0,2.0,6.0,6.0,True,617000.0,Grands Boulevards,small
Paris 11e,13.0,1.0,0.0,6.0,1.0,True,199500.0,Bastille - Popincourt,small
Paris 20e,79.0,4.0,3.0,6.0,5.0,False,280900.0,Gambetta,medium
Paris 5e,30.0,1.0,0.0,7.0,7.0,True,362000.0,Sorbonne - Quartier Latin,small
Paris 14e,48.0,2.0,1.0,12.0,1.0,False,273600.0,Bièvre Sud - Tolbiac,small
Paris 14e,38.0,2.0,1.0,5.0,4.0,True,384000.0,Pernety,small
Paris 13e,87.0,4.0,2.0,32.0,28.0,False,579038.0,Salpétrière - Austerlitz,medium
Paris 11e,83.0,4.0,2.0,7.0,5.0,True,780000.0,Belleville - Saint-Maur,medium
Paris 17e,73.0,4.0,3.0,6.0,5.0,True,823000.0,Ternes - Maillot,medium
Paris 13e,50.0,3.0,2.0,7.0,2.0,True,555000.0,Croulebarbe,small
Paris 20e,171.0,5.0,2.0,4.0,0.0,True,1200000.0,Ménilmontant - Amandiers,large
Paris 9e,101.81,4.0,3.0,6.0,0.0,True,1450000.0,Porte Saint-Martin - Paradis,large
Paris 17e,215.0,6.0,3.0,6.0,0.0,True,2750000.0,Pereire,large
Paris 14e,40.0,2.0,1.0,6.0,5.0,True,490000.0,Mouton - Duvernet,small
Paris 19e,27.0,1.0,1.0,10.0,1.0,True,250000.0,Secrétan - Jaurès,small
Paris 9e,32.0,2.0,1.0,7.0,4.0,True,370000.0,Lorette - Martyrs,small
Paris 19e,78.0,2.0,1.0,8.0,6.0,True,795000.0,Buttes Chaumont - Laumière - Manin,medium
Paris 20e,62.0,3.0,2.0,8.0,5.0,True,650000.0,Belleville,medium
Paris 11e,22.0,1.0,1.0,6.0,1.0,True,250900.0,République - Saint-Ambroise,small
Paris 4e,50.0,2.0,1.0,6.0,5.0,True,655000.0,Arsenal,small
Paris 17e,60.0,3.0,2.0,4.0,1.0,True,720000.0,Legendre - Lévis,small
Paris 15e,77.0,4.0,3.0,6.0,3.0,True,805000.0,Vaugirard - Parc des Expositions,medium
Paris 11e,127.0,5.0,3.0,7.0,3.0,True,1449000.0,Belleville - Saint-Maur,large
Paris 5e,53.0,3.0,2.0,5.0,3.0,True,980000.0,Val de Grâce,small
Paris 16e,102.0,5.0,3.0,6.0,3.0,True,1150000.0,Porte de Saint-Cloud - Auteuil-Sud,large
Paris 15e,34.67,1.0,1.0,10.0,7.0,True,420000.0,Cambronne - Garibaldi,small
Paris 11e,40.0,2.0,1.0,5.0,1.0,True,410000.0,Belleville - Saint-Maur,small
Paris 18e,40.0,2.0,1.0,5.0,2.0,True,465000.0,Montmartre - Sacré Coeur - Abbesses,small
Paris 10e,33.0,2.0,1.0,6.0,5.0,True,360000.0,Château d'Eau - Lancry,small
Paris 11e,37.0,2.0,1.0,6.0,4.0,True,430000.0,Léon-Blum - Folie-Regnault,small
Paris 18e,58.0,3.0,2.0,5.0,0.0,True,536000.0,Barbès - Château Rouge,small
Paris 12e,76.0,3.0,2.0,7.0,3.0,True,713000.0,Bercy,medium
Paris 10e,66.0,3.0,2.0,9.0,5.0,True,740000.0,Saint-Vincent de Paul - Lariboisière,medium
Paris 10e,71.0,3.0,2.0,5.0,2.0,True,749000.0,Château d'Eau - Lancry,medium
Paris 10e,76.0,3.0,2.0,6.0,1.0,True,755000.0,Louis Blanc - Aqueduc,medium
Paris 9e,86.0,5.0,3.0,6.0,1.0,True,960000.0,Clichy - Trinité,medium
Paris 14e,83.0,3.0,2.0,5.0,2.0,True,970000.0,Montsouris - Dareau,medium
Paris 13e,67.0,3.0,2.0,3.0,7.0,False,512000.0,Butte-aux-Cailles,medium
Paris 17e,187.0,7.0,4.0,6.0,4.0,True,2230000.0,Pereire,large
Paris 15e,46.0,3.0,2.0,6.0,1.0,True,465000.0,Saint-Lambert - Convention,small
Paris 12e,29.0,2.0,1.0,6.0,0.0,True,349000.0,Vallée de Fecamp,small
Paris 13e,71.0,3.0,2.0,9.0,3.0,True,690000.0,Patay - Masséna,medium
Paris 19e,69.0,3.0,2.0,8.0,0.0,True,555000.0,Porte de la Villette,medium
Paris 20e,129.0,6.0,4.0,6.0,0.0,True,1210000.0,Gambetta,large
Paris 17e,215.0,5.0,4.0,6.0,1.0,True,2990000.0,Courcelles - Wagram,large
Paris 11e,106.0,4.0,1.0,9.0,8.0,False,367368.0,Léon-Blum - Folie-Regnault,large
Paris 15e,32.0,1.0,1.0,5.0,5.0,True,375000.0,Vaugirard - Parc des Expositions,small
Paris 14e,48.0,2.0,1.0,3.0,2.0,True,560000.0,Montsouris - Dareau,small
Paris 17e,90.0,4.0,3.0,7.0,4.0,True,1084000.0,Pereire,medium
Paris 11e,47.0,3.0,2.0,6.0,4.0,True,560000.0,Bastille - Popincourt,small
Paris 13e,89.0,4.0,3.0,6.0,1.0,True,945000.0,Bièvre Sud - Tolbiac,medium
Paris 17e,108.0,4.0,3.0,6.0,1.0,True,1399000.0,Batignolles - Cardinet,large
Paris 18e,43.0,3.0,2.0,4.0,3.0,True,535000.0,Grandes Carrières - Clichy,small
Paris 20e,62.0,3.0,2.0,9.0,4.0,True,505900.0,Saint-Blaise,medium
Paris 11e,78.0,3.0,1.0,7.0,5.0,True,948000.0,Belleville - Saint-Maur,medium
Paris 9e,60.0,2.0,1.0,6.0,3.0,False,151100.0,Grands Boulevards,small
Paris 15e,39.0,2.0,1.0,7.0,5.0,True,410000.0,Vaugirard - Parc des Expositions,small
Paris 19e,39.0,2.0,1.0,6.0,6.0,True,440000.0,Jourdain - Pyrénées,small
Paris 14e,50.0,2.0,1.0,4.0,3.0,True,499000.0,Jean Moulin - Porte d'Orléans,small
Paris 19e,64.0,3.0,2.0,10.0,5.0,True,660000.0,Danube,medium
Paris 15e,63.0,2.0,1.0,6.0,5.0,True,790000.0,Pasteur - Montparnasse,medium
Paris 11e,72.0,3.0,2.0,6.0,5.0,True,825000.0,Nation - Alexandre Dumas,medium
Paris 11e,16.0,1.0,1.0,5.0,2.0,True,180000.0,Belleville - Saint-Maur,small
Paris 19e,81.0,3.0,2.0,4.0,2.0,True,550000.0,Danube,medium
Paris 15e,80.0,4.0,3.0,7.0,6.0,False,746000.0,Cambronne - Garibaldi,medium
Paris 10e,70.0,3.0,2.0,6.0,1.0,True,750000.0,Château d'Eau - Lancry,medium
